|V|,|V| closure,|E|,k,i,Algorithm,Time,PP time,Sum time
10,350,500,9,1,Both,4,46,50
10,350,500,9,2,Old,44,42,86
10,350,500,9,2,New,13,45,58
10,180,200,9,1,Both,3,15,18
10,180,200,9,2,Old,13,14,27
10,180,200,9,2,New,6,15,21
10,97,100,9,1,Both,3,8,11
10,97,100,9,2,Old,8,8,16
10,97,100,9,2,New,5,8,13
15,673,1000,14,1,Both,4,532,536
15,673,1000,14,2,Old,1080,442,1522
15,673,1000,14,2,New,106,328,434
15,521,750,14,1,Both,4,129,133
15,521,750,14,2,Old,400,109,509
15,521,750,14,2,New,76,122,198
15,395,500,14,1,Both,4,95,99
15,395,500,14,2,Old,181,51,232
15,395,500,14,2,New,28,46,74
20,1045,1500,19,1,Both,4,2284,2288
20,1045,1500,19,2,Old,4750,2061,6811
20,1045,1500,19,2,New,773,2392,3165
20,714,1000,19,1,Both,4,313,317
20,714,1000,19,2,Old,2214,320,2534
20,714,1000,19,2,New,220,316,536
20,592,750,19,1,Both,4,115,119
20,592,750,19,2,Old,1463,140,1603
20,592,750,19,2,New,169,138,307
30,1593,2500,29,1,Both,5,5395,5400
30,1593,2500,29,2,Old,53151,5187,58338
30,1593,2500,29,2,New,4032,5433,9465
30,1433,2000,29,1,Both,4,4265,4269
30,1433,2000,29,2,Old,142393,2807,145200
30,1433,2000,29,2,New,2666,2467,5133
30,1088,1500,29,1,Both,4,1550,1554
30,1088,1500,29,2,Old,22335,1082,23417
30,1088,1500,29,2,New,1309,1257,2566
40,1813,2500,39,1,Both,5,8151,8156
40,1813,2500,39,2,Old,415205,5295,420500
40,1813,2500,39,2,New,8418,7285,15703
40,1544,2000,39,1,Both,5,4080,4085
40,1544,2000,39,2,Old,322721,3439,326160
40,1544,2000,39,2,New,2549,5651,8200
40,1227,1500,39,1,Both,5,2037,2042
40,1227,1500,39,2,Old,54643,1241,55884
40,1227,1500,39,2,New,2827,1374,4201
50,4381,10000,49,1,Both,72,118250,118322
50,4381,10000,49,2,Old,27342206,266303,27608509
50,4381,10000,49,2,New,466707,280116,746823
50,3188,5000,49,1,Both,7,45767,45774
50,3188,5000,49,2,Old,9319606,47050,9366656
50,3188,5000,49,2,New,270206,51297,321503
50,1577,2000,49,1,Both,5,2809,2814
50,1577,2000,49,2,Old,481832,2590,484422
50,1577,2000,49,2,New,9218,3710,12928