|V|,|V| closure,|E|,k,i,Algorithm,Time,PP time,Sum time,Est,Mult,Act
10,350,500,9,1,Both,4,46,50,90,0.04444444444,0.03100631585
10,350,500,9,2,Old,44,42,86,656100,0.00006706294772,0.3410694743
10,350,500,9,2,New,13,45,58,8100,0.001604938272,0.1007705265
10,180,200,9,1,Both,3,15,18,90,0.03333333333,0.02325473689
10,180,200,9,2,Old,13,14,27,656100,0.00001981405274,0.1007705265
10,180,200,9,2,New,6,15,21,8100,0.0007407407407,0.04650947377
10,97,100,9,1,Both,3,8,11,90,0.03333333333,0.02325473689
10,97,100,9,2,Old,8,8,16,656100,0.00001219326322,0.0620126317
10,97,100,9,2,New,5,8,13,8100,0.0006172839506,0.03875789481
15,673,1000,14,1,Both,4,532,536,210,0.01904761905,0.03100631585
15,673,1000,14,2,Old,1080,442,1522,8643600,0.0001249479384,8.371705279
15,673,1000,14,2,New,106,328,434,44100,0.002403628118,0.82166737
15,521,750,14,1,Both,4,129,133,210,0.01904761905,0.03100631585
15,521,750,14,2,Old,400,109,509,8643600,0.00004627701421,3.100631585
15,521,750,14,2,New,76,122,198,44100,0.001723356009,0.5891200011
15,395,500,14,1,Both,4,95,99,210,0.01904761905,0.03100631585
15,395,500,14,2,Old,181,51,232,8643600,0.00002094034893,1.403035792
15,395,500,14,2,New,28,46,74,44100,0.0006349206349,0.2170442109
20,1045,1500,19,1,Both,4,2284,2288,380,0.01052631579,0.03100631585
20,1045,1500,19,2,Old,4750,2061,6811,52128400,0.00009112115469,36.82000007
20,1045,1500,19,2,New,773,2392,3165,144400,0.005353185596,5.991970538
20,714,1000,19,1,Both,4,313,317,380,0.01052631579,0.03100631585
20,714,1000,19,2,Old,2214,320,2534,52128400,0.00004247204978,17.16199582
20,714,1000,19,2,New,220,316,536,144400,0.001523545706,1.705347372
20,592,750,19,1,Both,4,115,119,380,0.01052631579,0.03100631585
20,592,750,19,2,Old,1463,140,1603,52128400,0.00002806531564,11.34056002
20,592,750,19,2,New,169,138,307,144400,0.001170360111,1.310016845
30,1593,2500,29,1,Both,5,5395,5400,870,0.005747126437,0
30,1593,2500,29,2,Old,53151,5187,58338,636552900,0.00008349816645,0
30,1593,2500,29,2,New,4032,5433,9465,756900,0.005326991677,0
30,1433,2000,29,1,Both,4,4265,4269,870,0.004597701149,0
30,1433,2000,29,2,Old,142393,2807,145200,636552900,0.0002236938988,0
30,1433,2000,29,2,New,2666,2467,5133,756900,0.003522261858,0
30,1088,1500,29,1,Both,4,1550,1554,870,0.004597701149,0
30,1088,1500,29,2,Old,22335,1082,23417,636552900,0.00003508742164,0
30,1088,1500,29,2,New,1309,1257,2566,756900,0.001729422645,0
40,1813,2500,39,1,Both,5,8151,8156,1560,0.003205128205,0
40,1813,2500,39,2,Old,415205,5295,420500,3701505600,0.0001121719227,0
40,1813,2500,39,2,New,8418,7285,15703,2433600,0.003459072978,0
40,1544,2000,39,1,Both,5,4080,4085,1560,0.003205128205,0
40,1544,2000,39,2,Old,322721,3439,326160,3701505600,0.00008718641409,0
40,1544,2000,39,2,New,2549,5651,8200,2433600,0.001047419461,0
40,1227,1500,39,1,Both,5,2037,2042,1560,0.003205128205,0
40,1227,1500,39,2,Old,54643,1241,55884,3701505600,0.00001476237129,0
40,1227,1500,39,2,New,2827,1374,4201,2433600,0.001161653517,0
50,4381,10000,49,1,Both,72,118250,118322,2450,0.0293877551,0
50,4381,10000,49,2,Old,27342206,266303,27608509,14412002500,0.00189718299,0
50,4381,10000,49,2,New,466707,280116,746823,6002500,0.07775210329,0
50,3188,5000,49,1,Both,7,45767,45774,2450,0.002857142857,0
50,3188,5000,49,2,Old,9319606,47050,9366656,14412002500,0.000646655869,0
50,3188,5000,49,2,New,270206,51297,321503,6002500,0.04501557684,0
50,1577,2000,49,1,Both,5,2809,2814,2450,0.002040816327,0
50,1577,2000,49,2,Old,481832,2590,484422,14412002500,0.00003343268918,0
50,1577,2000,49,2,New,9218,3710,12928,6002500,0.001535693461,0